livro;referencia;tema;categoria;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;correta;comentario
Gênesis;Gn 1:1;Criação;Origem do Mundo;Fácil;O que Deus criou no princípio?;Os céus e a terra;Somente a terra;Os anjos;O jardim do Éden;A;Deus criou os céus e a terra no princípio.
Gênesis;Gn 2:7;Criação;Ser Humano;Fácil;Do que Deus formou Adão?;Barro da terra;Madeira;Água;Pedra;A;Adão foi formado do pó da terra.
Gênesis;Gn 2:22;Criação;Ser Humano;Fácil;De qual parte de Adão Deus formou Eva?;Braço;Costela;Mão;Pé;B;Eva foi formada de uma das costelas de Adão.
Gênesis;Gn 3:6;Pecado;Queda;Média;A Bíblia identifica qual era o fruto proibido?;Maçã;Figo;Não identifica;Uva;C;A Bíblia nunca diz qual era o fruto.
Gênesis;Gn 4:8;Família;Irmãos;Fácil;Quem matou Abel?;Sete;Caim;Lameque;Esaú;B;Caim matou seu irmão Abel.
Gênesis;Gn 6:14;Obediência;Arca;Fácil;Quem construiu a arca por ordem de Deus?;Abraão;Noé;Moisés;José;B;Noé obedeceu à ordem de Deus.
Gênesis;Gn 7:7;Obediência;Dilúvio;Fácil;Quem entrou na arca com Noé?;Sua família;Somente os animais;Todo o povo;Os vizinhos;A;A família de Noé entrou na arca.
Gênesis;Gn 9:13;Aliança;Dilúvio;Média;Qual sinal Deus deu da aliança após o dilúvio?;Estrela;Arco-íris;Pomba;Oliveira;B;O arco-íris foi o sinal da aliança.
Gênesis;Gn 11:9;Orgulho;Babel;Média;O que Deus fez na Torre de Babel?;Enviou fogo;Confundiu as línguas;Mandou um dilúvio;Abriu a terra;B;Deus confundiu a linguagem do povo.
Gênesis;Gn 12:1;Fé;Chamado;Fácil;Quem foi chamado para deixar sua terra?;Isaque;Abraão;Jacó;José;B;Abraão obedeceu ao chamado de Deus.
Gênesis;Gn 21:3;Família;Patriarcas;Fácil;Qual era o nome do filho da promessa de Abraão?;Ismael;Isaque;Jacó;José;B;Isaque nasceu conforme a promessa de Deus.
Gênesis;Gn 25:26;Família;Patriarcas;Média;Quem era irmão gêmeo de Esaú?;José;Jacó;Benjamim;Rúben;B;Jacó nasceu logo após Esaú.
Gênesis;Gn 27:35;Família;Patriarcas;Média;Quem recebeu a bênção destinada a Esaú?;José;Jacó;Ismael;Ló;B;Jacó recebeu a bênção com ajuda de Rebeca.
Gênesis;Gn 37:3;Família;José;Fácil;Qual filho era o preferido de Jacó?;Judá;José;Benjamim;Levi;B;José recebeu uma túnica especial de seu pai.
Gênesis;Gn 37:28;Perdão;José;Fácil;Para onde José foi vendido como escravo?;Babilônia;Egito;Síria;Roma;B;José foi levado ao Egito.
Gênesis;Gn 40:8;Sonhos;José;Média;Quem interpretava sonhos com a ajuda de Deus?;Daniel;José;Samuel;Davi;B;José reconhecia que Deus dava a interpretação.
Gênesis;Gn 41:41;Provisão;José;Média;Qual cargo José recebeu no Egito?;General;Governador;Sacerdote;Escriba;B;Faraó colocou José como governador.
Êxodo;Êx 2:10;Chamado;Moisés;Fácil;Quem foi encontrado em um cesto no rio Nilo?;Samuel;Moisés;Josué;Arão;B;Moisés foi adotado pela filha de Faraó.
Êxodo;Êx 3:2;Chamado;Sarça Ardente;Média;Em que Deus apareceu a Moisés no deserto?;Nuvem;Sarça ardente;Templo;Montanha;B;Deus falou com Moisés por meio da sarça ardente.
Êxodo;Êx 3:14;Chamado;Sarça Ardente;Média;Como Deus se apresentou a Moisés?;Senhor dos Exércitos;Eu Sou o Que Sou;Deus Altíssimo;Pai Eterno;B;Deus revelou Seu nome a Moisés como 'Eu Sou o Que Sou'.
Êxodo;Êx 4:2;Chamado;Sinais;Média;Qual objeto Deus usou no primeiro sinal dado a Moisés?;Cajado;Pedra;Espada;Corda;A;O cajado transformou-se em serpente como sinal.
Êxodo;Êx 7:20;Milagres;Pragas;Fácil;Em que o rio Nilo se transformou?;Óleo;Sangue;Lama;Vinho;B;A primeira praga transformou as águas do Nilo em sangue.
Êxodo;Êx 8:6;Milagres;Pragas;Fácil;Qual praga cobriu a terra do Egito após o Nilo?;Gafanhotos;Rãs;Moscas;Piolhos;B;Rãs invadiram toda a terra do Egito.
Êxodo;Êx 12:13;Libertação;Páscoa;Média;O que marcava as casas dos israelitas na primeira Páscoa?;Água;Sangue do cordeiro;Óleo;Farinha;B;O sangue nos umbrais identificava as casas poupadas.
Êxodo;Êx 13:21;Milagres;Direção;Fácil;Como Deus guiava Israel durante o dia?;Coluna de nuvem;Anjo;Arca;Fogo;A;Durante o dia Deus guiava o povo por uma coluna de nuvem.
Êxodo;Êx 14:21;Milagres;Libertação;Fácil;O que aconteceu com o Mar Vermelho?;Secou sozinho;Foi aberto por Deus;Virou sangue;Congelou;B;Deus abriu o mar enquanto Moisés estendeu a mão.
Êxodo;Êx 16:15;Provisão;Maná;Fácil;Qual alimento Deus enviou do céu no deserto?;Pão;Maná;Peixe;Codornas;B;O maná sustentou Israel durante a caminhada.
Êxodo;Êx 17:6;Milagres;Provisão;Média;De onde saiu água para o povo beber?;De uma árvore;De uma rocha;De um poço;Do rio;B;Deus fez água sair da rocha.
Êxodo;Êx 20:3;Lei;Mandamentos;Fácil;Qual é o primeiro dos Dez Mandamentos?;Guardar o sábado;Não ter outros deuses;Honrar os pais;Não matar;B;Deus ordenou que somente Ele fosse adorado.
Êxodo;Êx 32:4;Idolatria;Bezerro de Ouro;Fácil;Que imagem o povo fez enquanto Moisés estava no monte?;Serpente;Bezerro de ouro;Águia;Leão;B;O povo fabricou um bezerro de ouro para adorar.
Josué;Js 1:9;Fé;Coragem;Fácil;Quem recebeu a ordem para ser forte e corajoso?;Calebe;Josué;Gideão;Samuel;B;Deus encorajou Josué antes da conquista da terra.
Josué;Js 6:20;Milagres;Conquista;Fácil;Qual cidade teve as muralhas derrubadas?;Ai;Jericó;Hebrom;Betel;B;As muralhas caíram após a obediência do povo.
Juízes;Jz 6:12;Chamado;Juízes;Média;Qual juiz foi chamado de homem valente pelo anjo?;Sansão;Gideão;Jefté;Otniel;B;O anjo chamou Gideão para libertar Israel.
Juízes;Jz 16:19;Personagens;Sansão;Fácil;O que foi cortado para enfraquecer Sansão?;Barba;Cabelos;Sandálias;Roupas;B;Sua força estava ligada ao voto simbolizado pelos cabelos.
Rute;Rt 1:16;Fidelidade;Família;Média;A quem Rute decidiu permanecer fiel?;Sara;Noemi;Ester;Débora;B;Rute permaneceu ao lado de Noemi.
1 Samuel;1Sm 3:10;Chamado;Samuel;Fácil;Quem chamou Samuel durante a noite?;Eli;Deus;Davi;Saul;B;Deus chamou Samuel para ser profeta.
1 Samuel;1Sm 16:13;Reis;Unção;Média;Quem ungiu Davi como rei?;Natã;Samuel;Elias;Zadoque;B;Samuel ungiu Davi por ordem de Deus.
1 Samuel;1Sm 17:50;Fé;Vitória;Fácil;Com que arma Davi derrotou Golias?;Espada;Funda e pedra;Lança;Arco;B;Davi venceu Golias confiando em Deus e usando uma funda.
2 Samuel;2Sm 11:3;Reis;Davi;Média;Qual era o nome da esposa de Urias?;Abigail;Bate-Seba;Mical;Rute;B;Bate-Seba era esposa de Urias antes de se casar com Davi.
1 Reis;1Rs 3:9;Sabedoria;Salomão;Fácil;O que Salomão pediu a Deus?;Riquezas;Sabedoria;Vida longa;Vitórias;B;Salomão pediu sabedoria para governar o povo.
1 Reis;1Rs 6:1;Templo;Salomão;Fácil;Quem construiu o primeiro templo em Jerusalém?;Davi;Salomão;Ezequias;Josias;B;Salomão edificou o templo dedicado ao Senhor.
1 Reis;1Rs 17:6;Provisão;Elias;Média;Quem levava alimento ao profeta Elias no riacho?;Pombas;Corvos;Ovelhas;Anjos;B;Deus usou corvos para alimentar Elias.
1 Reis;1Rs 18:38;Milagres;Fogo do Céu;Fácil;O que caiu do céu após a oração de Elias?;Chuva;Fogo;Granizo;Maná;B;Deus respondeu com fogo no monte Carmelo.
2 Reis;2Rs 2:11;Profetas;Elias;Média;Como Elias foi levado ao céu?;Navio;Carro de fogo;Águia;Nuvem;B;Elias foi levado num redemoinho com carros de fogo.
2 Reis;2Rs 5:14;Milagres;Cura;Fácil;Em qual rio Naamã mergulhou para ser curado?;Nilo;Jordão;Eufrates;Quisom;B;Naamã mergulhou sete vezes no Jordão.
2 Reis;2Rs 6:6;Milagres;Provisão;Difícil;O que Eliseu fez flutuar na água?;Barco;Machado;Pedra;Vaso;B;Deus fez o ferro do machado flutuar.
Ester;Et 4:16;Coragem;Rainha Ester;Média;Antes de falar com o rei, o que Ester pediu ao povo?;Ofertas;Jejum;Sacrifícios;Festa;B;Ester pediu três dias de jejum.
Jó;Jó 1:21;Fé;Perseverança;Média;Quem declarou: 'O Senhor deu, o Senhor tomou'?;Abraão;Jó;Isaías;Jeremias;B;Jó manteve sua confiança em Deus mesmo no sofrimento.
Salmos;Sl 23:1;Confiança;Davi;Fácil;Quem é o pastor no Salmo 23?;Moisés;O Senhor;Davi;Samuel;B;Davi declara que o Senhor é seu pastor.
Provérbios;Pv 9:10;Sabedoria;Temor;Média;Qual é o princípio da sabedoria?;Conhecimento;Temor do Senhor;Experiência;Disciplina;B;Provérbios ensina que o temor do Senhor é o princípio da sabedoria.
Daniel;Dn 3:25;Milagres;Livramento;Fácil;Quantos homens foram vistos na fornalha ardente?;Três;Quatro;Cinco;Seis;B;Além dos três jovens, apareceu um quarto homem.
Daniel;Dn 6:22;Milagres;Livramento;Fácil;Quem foi protegido na cova dos leões?;Jeremias;Daniel;Isaías;Ezequiel;B;Deus enviou um anjo para fechar a boca dos leões.
Jonas;Jn 1:17;Obediência;Chamado;Fácil;Quantos dias Jonas ficou no grande peixe?;Dois;Três;Sete;Quarenta;B;Jonas permaneceu três dias e três noites.
Mateus;Mt 1:21;Jesus;Nascimento;Fácil;Como o filho de Maria deveria ser chamado?;Emanuel;Jesus;João;José;B;O anjo ordenou que seu nome fosse Jesus.
Mateus;Mt 2:11;Jesus;Nascimento;Média;Quais presentes os magos ofereceram a Jesus?;Prata, ouro e trigo;Ouro, incenso e mirra;Ouro, vinho e azeite;Incenso, prata e mel;B;Os magos presentearam Jesus com ouro, incenso e mirra.
Mateus;Mt 3:16;Jesus;Batismo;Fácil;Em qual rio Jesus foi batizado?;Jordão;Nilo;Eufrates;Jaboque;A;Jesus foi batizado por João no rio Jordão.
Mateus;Mt 4:19;Discipulado;Chamado;Fácil;Qual convite Jesus fez a Pedro e André?;Construam um barco;Sigam-me;Voltem para casa;Subam ao monte;B;Jesus os chamou para serem pescadores de homens.
Mateus;Mt 5:14;Ensinos;Sermão do Monte;Média;Como Jesus chamou seus seguidores no mundo?;Sal da terra;Luz do mundo;Videira;Semeadores;B;Jesus disse que seus discípulos são a luz do mundo.
Mateus;Mt 5:13;Ensinos;Sermão do Monte;Fácil;Como Jesus chamou seus seguidores na terra?;Luz do mundo;Sal da terra;Pescadores;Servos;B;Jesus disse que seus discípulos são o sal da terra.
Mateus;Mt 6:9;Oração;Pai Nosso;Fácil;Como começa a oração do Pai Nosso?;Pai querido;Pai nosso que estás nos céus;Senhor Deus;Deus eterno;B;Jesus ensinou seus discípulos a orar dessa maneira.
Mateus;Mt 7:24;Parábolas;Sabedoria;Média;Quem construiu a casa sobre a rocha?;Homem prudente;Homem rico;Rei sábio;Construtor;A;O homem prudente ouviu e praticou as palavras de Jesus.
Mateus;Mt 8:26;Milagres;Natureza;Média;O que Jesus acalmou no mar?;A chuva;A tempestade;O rio;A maré;B;Jesus repreendeu o vento e o mar.
Mateus;Mt 9:20;Milagres;Cura;Fácil;Por quantos anos a mulher sofria de hemorragia?;7 anos;12 anos;20 anos;40 anos;B;Ela foi curada ao tocar nas vestes de Jesus.
Mateus;Mt 14:19;Milagres;Multiplicação;Fácil;Quantos pães Jesus usou para alimentar a multidão?;Cinco;Sete;Doze;Dois;A;Jesus multiplicou cinco pães e dois peixes.
Mateus;Mt 14:29;Fé;Confiança;Fácil;Qual discípulo andou sobre as águas com Jesus?;João;Pedro;Tiago;André;B;Pedro caminhou enquanto manteve a fé.
Mateus;Mt 16:16;Jesus;Identidade;Média;Quem declarou que Jesus é o Cristo?;João;Pedro;Tomé;Mateus;B;Pedro reconheceu Jesus como o Filho do Deus vivo.
Mateus;Mt 18:22;Perdão;Ensinos;Média;Quantas vezes Jesus disse para perdoar?;Sete;Setenta vezes sete;Cem;Doze;B;Jesus ensinou o perdão sem limites.
Mateus;Mt 21:9;Jesus;Entrada Triunfal;Fácil;Qual expressão a multidão gritava na entrada de Jesus em Jerusalém?;Aleluia;Hosana;Amém;Glória;B;O povo recebeu Jesus com louvor.
Mateus;Mt 26:26;Ceia;Santa Ceia;Fácil;O pão representa o quê na Santa Ceia?;A Igreja;O corpo de Cristo;A Lei;O Reino;B;Jesus disse: 'Isto é o meu corpo'.
Mateus;Mt 26:69;Paixão;Negação;Fácil;Quem negou Jesus três vezes?;Judas;Pedro;Tomé;Tiago;B;Pedro negou Jesus antes do galo cantar.
Mateus;Mt 27:51;Crucificação;Templo;Média;O que aconteceu com o véu do templo após a morte de Jesus?;Queimou;Rasgou-se ao meio;Caiu;Desapareceu;B;O véu rasgou-se de alto a baixo.
Mateus;Mt 28:6;Ressurreição;Vitória;Fácil;O que o anjo anunciou no túmulo de Jesus?;Ele dorme;Ele ressuscitou;Ele voltará amanhã;Ele foi levado;B;Jesus venceu a morte e ressuscitou.
Marcos;Mc 2:11;Milagres;Cura;Fácil;Quem Jesus mandou levantar e levar a cama?;Cego;Paralítico;Leproso;Surdo;B;O paralítico foi curado diante da multidão.
Marcos;Mc 5:41;Milagres;Ressurreição;Média;Quem Jesus ressuscitou dizendo 'Talita cumi'?;Filha de Jairo;Lázaro;Jovem de Naim;Dorcas;A;Jesus devolveu a vida à filha de Jairo.
Lucas;Lc 10:33;Parábolas;Amor ao Próximo;Fácil;Quem ajudou o homem ferido na estrada?;Sacerdote;Bom samaritano;Levita;Soldado;B;O bom samaritano demonstrou amor ao próximo.
Lucas;Lc 15:20;Parábolas;Perdão;Fácil;Quem recebeu o filho pródigo de braços abertos?;Seu irmão;Seu pai;Seu tio;Um servo;B;O pai simboliza o amor e o perdão de Deus.
João;Jo 11:43;Milagres;Ressurreição;Fácil;Quem Jesus chamou para sair do túmulo?;Jairo;Lázaro;Estevão;Nicodemos;B;Lázaro ressuscitou após quatro dias.
João;Jo 3:3;Salvação;Novo Nascimento;Média;O que é necessário para ver o Reino de Deus?;Ser rico;Nascer de novo;Guardar o sábado;Jejuar;B;Jesus ensinou a Nicodemos sobre o novo nascimento.
João;Jo 4:14;Jesus;Água Viva;Média;O que Jesus prometeu à mulher samaritana?;Pão do céu;Água viva;Riquezas;Saúde;B;Jesus oferece a vida eterna como água viva.
João;Jo 6:35;Jesus;Ensinos;Fácil;Como Jesus se apresentou em João 6:35?;Luz do mundo;Pão da vida;Bom Pastor;Videira;B;Jesus declarou ser o pão da vida.
João;Jo 8:12;Jesus;Ensinos;Fácil;Como Jesus chamou a si mesmo em João 8:12?;Bom Pastor;Luz do mundo;Cordeiro;Rei;B;Jesus é a luz que guia os homens.
João;Jo 10:11;Jesus;Ensinos;Fácil;Quem é o Bom Pastor?;Pedro;Jesus;João;Paulo;B;Jesus deu a vida por suas ovelhas.
João;Jo 13:35;Amor;Discipulado;Média;Como todos reconhecerão os discípulos de Jesus?;Pelos milagres;Pelo amor;Pelas riquezas;Pelas roupas;B;O amor identifica os verdadeiros discípulos.
João;Jo 14:6;Salvação;Caminho;Fácil;Quem é o caminho, a verdade e a vida?;Pedro;Jesus;Moisés;Paulo;B;Somente Jesus conduz ao Pai.
João;Jo 15:5;Jesus;Videira;Média;Quem é a videira verdadeira?;Israel;Jesus;João Batista;Abraão;B;Sem Jesus nada podemos fazer.
Atos;At 1:8;Espírito Santo;Missões;Média;O que os discípulos receberiam antes de testemunhar?;Sabedoria;Poder;Riquezas;Autoridade política;B;O Espírito Santo capacita para testemunhar.
Atos;At 2:1;Espírito Santo;Pentecostes;Fácil;Em qual festa o Espírito Santo foi derramado?;Páscoa;Pentecostes;Tabernáculos;Purim;B;O derramamento ocorreu no dia de Pentecostes.
